model,condition,kind,count,true_class_id,true_action,predicted_class_id,predicted_action
stgcn,joint_missing_moderate,all_error,210,11,writing,29,typing on a keyboard
stgcn,joint_missing_moderate,all_error,195,35,shake head,28,playing with phone/tablet
stgcn,joint_missing_moderate,all_error,174,7,sitting down,16,take off a shoe
stgcn,limb_occlusion_moderate,new_error,149,22,hand waving,35,shake head
stgcn,limb_occlusion_moderate,new_error,140,37,salute,35,shake head
stgcn,limb_occlusion_moderate,new_error,134,29,typing on a keyboard,11,writing
stgcn,limb_occlusion_moderate,new_error,93,35,shake head,29,typing on a keyboard
stgcn,limb_occlusion_moderate,new_error,91,53,point finger at the other person,30,pointing to something with finger
stgcn,limb_occlusion_moderate,new_error,83,53,point finger at the other person,52,pat on back of other person
stgcn,limb_occlusion_moderate,new_error,79,15,wear a shoe,16,take off a shoe
stgcn,limb_occlusion_moderate,new_error,78,3,brushing hair,35,shake head
stgcn,limb_occlusion_moderate,new_error,77,28,playing with phone/tablet,11,writing
stgcn,limb_occlusion_moderate,new_error,43,26,jump up,23,kicking something
stgcn,limb_occlusion_moderate,all_error,264,29,typing on a keyboard,11,writing
stgcn,limb_occlusion_moderate,all_error,220,15,wear a shoe,16,take off a shoe
stgcn,limb_occlusion_moderate,all_error,190,11,writing,29,typing on a keyboard
stgcn,limb_occlusion_moderate,all_error,155,37,salute,35,shake head
stgcn,limb_occlusion_moderate,all_error,152,10,reading,11,writing
stgcn,limb_occlusion_moderate,all_error,127,28,playing with phone/tablet,11,writing
stgcn,limb_occlusion_moderate,all_error,114,22,hand waving,35,shake head
stgcn,limb_occlusion_moderate,all_error,110,11,writing,28,playing with phone/tablet
stgcn,limb_occlusion_moderate,all_error,90,28,playing with phone/tablet,29,typing on a keyboard
stgcn,limb_occlusion_moderate,all_error,89,47,nausea or vomiting condition,44,touch chest (stomachache/heart pain)
stgcn,coord_noise_moderate,new_error,383,35,shake head,29,typing on a keyboard
stgcn,coord_noise_moderate,new_error,321,25,hopping (one foot jumping),13,wear jacket
stgcn,coord_noise_moderate,new_error,248,59,walking apart from each other,13,wear jacket
stgcn,coord_noise_moderate,new_error,237,51,pushing other person,13,wear jacket
stgcn,coord_noise_moderate,new_error,214,41,staggering,13,wear jacket
stgcn,coord_noise_moderate,new_error,213,55,giving something to other person,11,writing
stgcn,coord_noise_moderate,new_error,198,49,punching/slapping other person,13,wear jacket
stgcn,coord_noise_moderate,new_error,197,54,hugging other person,13,wear jacket
stgcn,coord_noise_moderate,new_error,194,57,handshaking,11,writing
stgcn,coord_noise_moderate,new_error,182,24,reach into pocket,29,typing on a keyboard
stgcn,coord_noise_moderate,all_error,255,59,walking apart from each other,13,wear jacket
stgcn,coord_noise_moderate,all_error,240,51,pushing other person,13,wear jacket
stgcn,coord_noise_moderate,all_error,230,55,giving something to other person,11,writing
stgcn,coord_noise_moderate,all_error,222,28,playing with phone/tablet,29,typing on a keyboard
stgcn,coord_noise_moderate,all_error,220,49,punching/slapping other person,13,wear jacket
stgcn,coord_noise_moderate,all_error,217,35,shake head,29,typing on a keyboard
stgcn,coord_noise_moderate,all_error,214,41,staggering,13,wear jacket
stgcn,coord_noise_moderate,all_error,213,24,reach into pocket,29,typing on a keyboard
stgcn,coord_noise_moderate,all_error,205,11,writing,29,typing on a keyboard
stgcn,coord_noise_moderate,all_error,204,54,hugging other person,13,wear jacket
stgcn,frame_missing_moderate,new_error,151,41,staggering,23,kicking something
stgcn,frame_missing_moderate,new_error,126,53,point finger at the other person,52,pat on back of other person
stgcn,frame_missing_moderate,new_error,113,31,taking a selfie,30,pointing to something with finger
stgcn,frame_missing_moderate,new_error,104,51,pushing other person,54,hugging other person
stgcn,frame_missing_moderate,new_error,101,11,writing,29,typing on a keyboard
stgcn,frame_missing_moderate,new_error,97,28,playing with phone/tablet,29,typing on a keyboard
stgcn,frame_missing_moderate,new_error,83,15,wear a shoe,16,take off a shoe
stgcn,frame_missing_moderate,new_error,78,57,handshaking,54,hugging other person
stgcn,frame_missing_moderate,new_error,63,20,take off a hat/cap,37,salute
stgcn,frame_missing_moderate,new_error,46,56,touch other person's pocket,52,pat on back of other person
stgcn,frame_missing_moderate,all_error,340,11,writing,29,typing on a keyboard
stgcn,frame_missing_moderate,all_error,201,15,wear a shoe,16,take off a shoe
stgcn,frame_missing_moderate,all_error,155,41,staggering,23,kicking something
stgcn,frame_missing_moderate,all_error,155,28,playing with phone/tablet,29,typing on a keyboard
stgcn,frame_missing_moderate,all_error,146,53,point finger at the other person,52,pat on back of other person
stgcn,frame_missing_moderate,all_error,134,31,taking a selfie,30,pointing to something with finger
stgcn,frame_missing_moderate,all_error,121,10,reading,29,typing on a keyboard
stgcn,frame_missing_moderate,all_error,84,51,pushing other person,54,hugging other person
stgcn,frame_missing_moderate,all_error,65,47,nausea or vomiting condition,44,touch chest (stomachache/heart pain)
stgcn,frame_missing_moderate,all_error,62,28,playing with phone/tablet,4,drop
stgcn,mixed_moderate,new_error,227,58,walking towards each other,13,wear jacket
stgcn,mixed_moderate,new_error,195,35,shake head,29,typing on a keyboard
stgcn,mixed_moderate,new_error,174,24,reach into pocket,29,typing on a keyboard
stgcn,mixed_moderate,new_error,126,59,walking apart from each other,13,wear jacket
stgcn,mixed_moderate,new_error,106,28,playing with phone/tablet,29,typing on a keyboard
stgcn,mixed_moderate,new_error,98,49,punching/slapping other person,13,wear jacket
stgcn,mixed_moderate,new_error,94,12,tear up paper,29,typing on a keyboard
stgcn,mixed_moderate,new_error,89,1,eat meal/snack,29,typing on a keyboard
stgcn,mixed_moderate,new_error,88,41,staggering,13,wear jacket
stgcn,mixed_moderate,new_error,87,51,pushing other person,13,wear jacket
stgcn,mixed_moderate,all_error,353,28,playing with phone/tablet,29,typing on a keyboard
stgcn,mixed_moderate,all_error,257,11,writing,29,typing on a keyboard
stgcn,mixed_moderate,all_error,203,35,shake head,29,typing on a keyboard
stgcn,mixed_moderate,all_error,203,24,reach into pocket,29,typing on a keyboard
stgcn,mixed_moderate,all_error,190,28,playing with phone/tablet,11,writing
stgcn,mixed_moderate,all_error,152,58,walking towards each other,13,wear jacket
stgcn,mixed_moderate,all_error,132,10,reading,29,typing on a keyboard
stgcn,mixed_moderate,all_error,130,59,walking apart from each other,13,wear jacket
stgcn,mixed_moderate,all_error,105,49,punching/slapping other person,13,wear jacket
stgcn,mixed_moderate,all_error,105,10,reading,11,writing
stgcn,joint_missing_severe,new_error,454,42,falling,31,taking a selfie
stgcn,joint_missing_severe,new_error,451,21,cheer up,31,taking a selfie
stgcn,joint_missing_severe,new_error,355,57,handshaking,11,writing
stgcn,joint_missing_severe,new_error,353,52,pat on back of other person,11,writing
stgcn,joint_missing_severe,new_error,350,56,touch other person's pocket,11,writing
stgcn,joint_missing_severe,new_error,312,12,tear up paper,11,writing
stgcn,joint_missing_severe,new_error,226,14,take off jacket,11,writing
stgcn,joint_missing_severe,new_error,215,8,standing up (from sitting position),11,writing
stgcn,joint_missing_severe,new_error,212,58,walking towards each other,13,wear jacket
stgcn,joint_missing_severe,new_error,211,7,sitting down,31,taking a selfie
stgcn,joint_missing_severe,all_error,476,21,cheer up,31,taking a selfie
stgcn,joint_missing_severe,all_error,461,42,falling,31,taking a selfie
stgcn,joint_missing_severe,all_error,370,56,touch other person's pocket,11,writing
stgcn,joint_missing_severe,all_error,366,52,pat on back of other person,11,writing
stgcn,joint_missing_severe,all_error,348,12,tear up paper,11,writing
stgcn,joint_missing_severe,all_error,234,14,take off jacket,11,writing
stgcn,joint_missing_severe,all_error,231,57,handshaking,11,writing
stgcn,joint_missing_severe,all_error,227,3,brushing hair,31,taking a selfie
stgcn,joint_missing_severe,all_error,224,55,giving something to other person,11,writing
stgcn,joint_missing_severe,all_error,218,8,standing up (from sitting position),11,writing
stgcn,limb_occlusion_severe,new_error,278,35,shake head,29,typing on a keyboard
stgcn,limb_occlusion_severe,new_error,158,2,brushing teeth,29,typing on a keyboard
stgcn,limb_occlusion_severe,new_error,149,53,point finger at the other person,30,pointing to something with finger
stgcn,limb_occlusion_severe,new_error,145,31,taking a selfie,29,typing on a keyboard
stgcn,limb_occlusion_severe,new_error,136,29,typing on a keyboard,11,writing
stgcn,limb_occlusion_severe,new_error,132,0,drink water,29,typing on a keyboard
stgcn,limb_occlusion_severe,new_error,131,32,check time (from watch),29,typing on a keyboard
stgcn,limb_occlusion_severe,new_error,96,26,jump up,23,kicking something
stgcn,limb_occlusion_severe,new_error,72,27,make a phone call/answer phone,29,typing on a keyboard
stgcn,limb_occlusion_severe,new_error,66,28,playing with phone/tablet,29,typing on a keyboard
stgcn,limb_occlusion_severe,all_error,259,11,writing,29,typing on a keyboard
stgcn,limb_occlusion_severe,all_error,248,2,brushing teeth,29,typing on a keyboard
stgcn,limb_occlusion_severe,all_error,230,35,shake head,29,typing on a keyboard
stgcn,limb_occlusion_severe,all_error,195,29,typing on a keyboard,11,writing
stgcn,limb_occlusion_severe,all_error,178,1,eat meal/snack,29,typing on a keyboard
stgcn,limb_occlusion_severe,all_error,154,31,taking a selfie,29,typing on a keyboard
stgcn,limb_occlusion_severe,all_error,153,53,point finger at the other person,30,pointing to something with finger
stgcn,limb_occlusion_severe,all_error,96,26,jump up,23,kicking something
stgcn,limb_occlusion_severe,all_error,92,28,playing with phone/tablet,29,typing on a keyboard
stgcn,limb_occlusion_severe,all_error,83,27,make a phone call/answer phone,29,typing on a keyboard
stgcn,coord_noise_severe,new_error,468,26,jump up,13,wear jacket
stgcn,coord_noise_severe,new_error,431,3,brushing hair,11,writing
stgcn,coord_noise_severe,new_error,429,13,wear jacket,11,writing
stgcn,coord_noise_severe,new_error,409,54,hugging other person,13,wear jacket
stgcn,coord_noise_severe,new_error,399,19,put on a hat/cap,11,writing
stgcn,coord_noise_severe,new_error,263,51,pushing other person,13,wear jacket
stgcn,coord_noise_severe,new_error,259,14,take off jacket,11,writing
stgcn,coord_noise_severe,new_error,253,41,staggering,13,wear jacket
stgcn,coord_noise_severe,new_error,252,14,take off jacket,13,wear jacket
stgcn,coord_noise_severe,new_error,250,20,take off a hat/cap,11,writing
stgcn,coord_noise_severe,all_error,468,26,jump up,13,wear jacket
stgcn,coord_noise_severe,all_error,462,3,brushing hair,11,writing
stgcn,coord_noise_severe,all_error,451,12,tear up paper,11,writing
stgcn,coord_noise_severe,all_error,437,13,wear jacket,11,writing
stgcn,coord_noise_severe,all_error,423,0,drink water,11,writing
stgcn,coord_noise_severe,all_error,272,14,take off jacket,11,writing
stgcn,coord_noise_severe,all_error,268,51,pushing other person,13,wear jacket
stgcn,coord_noise_severe,all_error,264,54,hugging other person,13,wear jacket
stgcn,coord_noise_severe,all_error,263,57,handshaking,11,writing
stgcn,coord_noise_severe,all_error,263,55,giving something to other person,11,writing
stgcn,frame_missing_severe,new_error,300,38,put the palms together,4,drop
stgcn,frame_missing_severe,new_error,281,35,shake head,4,drop
stgcn,frame_missing_severe,new_error,202,51,pushing other person,54,hugging other person
stgcn,frame_missing_severe,new_error,191,31,taking a selfie,30,pointing to something with finger
stgcn,frame_missing_severe,new_error,163,53,point finger at the other person,52,pat on back of other person
stgcn,frame_missing_severe,new_error,147,57,handshaking,54,hugging other person
stgcn,frame_missing_severe,new_error,136,32,check time (from watch),4,drop
stgcn,frame_missing_severe,new_error,131,23,kicking something,4,drop
stgcn,frame_missing_severe,new_error,115,56,touch other person's pocket,54,hugging other person
stgcn,frame_missing_severe,new_error,79,28,playing with phone/tablet,29,typing on a keyboard
stgcn,frame_missing_severe,all_error,346,11,writing,29,typing on a keyboard
stgcn,frame_missing_severe,all_error,316,38,put the palms together,4,drop
stgcn,frame_missing_severe,all_error,295,35,shake head,4,drop
stgcn,frame_missing_severe,all_error,206,31,taking a selfie,30,pointing to something with finger
stgcn,frame_missing_severe,all_error,185,28,playing with phone/tablet,29,typing on a keyboard
stgcn,frame_missing_severe,all_error,182,53,point finger at the other person,52,pat on back of other person
stgcn,frame_missing_severe,all_error,154,57,handshaking,54,hugging other person
stgcn,frame_missing_severe,all_error,154,32,check time (from watch),4,drop
stgcn,frame_missing_severe,all_error,150,51,pushing other person,54,hugging other person
stgcn,frame_missing_severe,all_error,140,10,reading,29,typing on a keyboard
stgcn,mixed_severe,new_error,139,58,walking towards each other,13,wear jacket
stgcn,mixed_severe,new_error,133,35,shake head,29,typing on a keyboard
stgcn,mixed_severe,new_error,104,12,tear up paper,11,writing
stgcn,mixed_severe,new_error,103,45,touch back (backache),11,writing
stgcn,mixed_severe,new_error,103,14,take off jacket,11,writing
stgcn,mixed_severe,new_error,102,35,shake head,11,writing
stgcn,mixed_severe,new_error,101,44,touch chest (stomachache/heart pain),11,writing
stgcn,mixed_severe,new_error,100,24,reach into pocket,11,writing
stgcn,mixed_severe,new_error,99,33,rub two hands together,11,writing
stgcn,mixed_severe,new_error,99,28,playing with phone/tablet,11,writing
stgcn,mixed_severe,all_error,209,10,reading,11,writing
stgcn,mixed_severe,all_error,206,28,playing with phone/tablet,11,writing
stgcn,mixed_severe,all_error,190,11,writing,29,typing on a keyboard
stgcn,mixed_severe,all_error,184,10,reading,29,typing on a keyboard
stgcn,mixed_severe,all_error,181,28,playing with phone/tablet,29,typing on a keyboard
stgcn,mixed_severe,all_error,147,24,reach into pocket,29,typing on a keyboard
stgcn,mixed_severe,all_error,139,58,walking towards each other,13,wear jacket
stgcn,mixed_severe,all_error,117,33,rub two hands together,11,writing
stgcn,mixed_severe,all_error,117,29,typing on a keyboard,11,writing
stgcn,mixed_severe,all_error,116,24,reach into pocket,11,writing
stgcnpp,clean,all_error,189,11,writing,29,typing on a keyboard
stgcnpp,clean,all_error,175,15,wear a shoe,16,take off a shoe
stgcnpp,clean,all_error,149,10,reading,11,writing
stgcnpp,clean,all_error,111,30,pointing to something with finger,31,taking a selfie
stgcnpp,clean,all_error,103,29,typing on a keyboard,11,writing
stgcnpp,clean,all_error,95,10,reading,28,playing with phone/tablet
stgcnpp,clean,all_error,88,11,writing,28,playing with phone/tablet
stgcnpp,clean,all_error,75,28,playing with phone/tablet,11,writing
stgcnpp,clean,all_error,64,16,take off a shoe,15,wear a shoe
stgcnpp,clean,all_error,52,9,clapping,33,rub two hands together
stgcnpp,joint_missing_mild,new_error,385,58,walking towards each other,59,walking apart from each other
stgcnpp,joint_missing_mild,new_error,170,30,pointing to something with finger,31,taking a selfie
stgcnpp,joint_missing_mild,new_error,155,51,pushing other person,54,hugging other person
stgcnpp,joint_missing_mild,new_error,124,53,point finger at the other person,52,pat on back of other person
stgcnpp,joint_missing_mild,new_error,107,28,playing with phone/tablet,11,writing
stgcnpp,joint_missing_mild,new_error,103,35,shake head,28,playing with phone/tablet
stgcnpp,joint_missing_mild,new_error,84,2,brushing teeth,0,drink water
stgcnpp,joint_missing_mild,new_error,79,45,touch back (backache),44,touch chest (stomachache/heart pain)
stgcnpp,joint_missing_mild,new_error,74,29,typing on a keyboard,11,writing
stgcnpp,joint_missing_mild,new_error,72,50,kicking other person,14,take off jacket
stgcnpp,joint_missing_mild,all_error,389,58,walking towards each other,59,walking apart from each other
stgcnpp,joint_missing_mild,all_error,283,30,pointing to something with finger,31,taking a selfie
stgcnpp,joint_missing_mild,all_error,180,28,playing with phone/tablet,11,writing
stgcnpp,joint_missing_mild,all_error,173,10,reading,11,writing
stgcnpp,joint_missing_mild,all_error,148,11,writing,29,typing on a keyboard
stgcnpp,joint_missing_mild,all_error,129,53,point finger at the other person,52,pat on back of other person
stgcnpp,joint_missing_mild,all_error,121,16,take off a shoe,15,wear a shoe
stgcnpp,joint_missing_mild,all_error,117,29,typing on a keyboard,11,writing
stgcnpp,joint_missing_mild,all_error,107,35,shake head,28,playing with phone/tablet
stgcnpp,joint_missing_mild,all_error,105,51,pushing other person,54,hugging other person
stgcnpp,limb_occlusion_mild,new_error,180,53,point finger at the other person,52,pat on back of other person
stgcnpp,limb_occlusion_mild,new_error,108,15,wear a shoe,16,take off a shoe
stgcnpp,limb_occlusion_mild,new_error,94,58,walking towards each other,59,walking apart from each other
stgcnpp,limb_occlusion_mild,new_error,87,21,cheer up,22,hand waving
stgcnpp,limb_occlusion_mild,new_error,77,47,nausea or vomiting condition,44,touch chest (stomachache/heart pain)
stgcnpp,limb_occlusion_mild,new_error,75,22,hand waving,35,shake head
stgcnpp,limb_occlusion_mild,new_error,58,57,handshaking,52,pat on back of other person
stgcnpp,limb_occlusion_mild,new_error,54,29,typing on a keyboard,11,writing
stgcnpp,limb_occlusion_mild,new_error,52,55,giving something to other person,56,touch other person's pocket
stgcnpp,limb_occlusion_mild,new_error,33,37,salute,35,shake head
stgcnpp,limb_occlusion_mild,all_error,249,15,wear a shoe,16,take off a shoe
stgcnpp,limb_occlusion_mild,all_error,203,53,point finger at the other person,52,pat on back of other person
stgcnpp,limb_occlusion_mild,all_error,196,11,writing,29,typing on a keyboard
stgcnpp,limb_occlusion_mild,all_error,174,29,typing on a keyboard,11,writing
stgcnpp,limb_occlusion_mild,all_error,147,10,reading,11,writing
stgcnpp,limb_occlusion_mild,all_error,110,47,nausea or vomiting condition,44,touch chest (stomachache/heart pain)
stgcnpp,limb_occlusion_mild,all_error,109,30,pointing to something with finger,31,taking a selfie
stgcnpp,limb_occlusion_mild,all_error,72,58,walking towards each other,59,walking apart from each other
stgcnpp,limb_occlusion_mild,all_error,42,11,writing,28,playing with phone/tablet
stgcnpp,limb_occlusion_mild,all_error,38,10,reading,28,playing with phone/tablet
stgcnpp,coord_noise_mild,new_error,349,35,shake head,37,salute
stgcnpp,coord_noise_mild,new_error,148,6,throw,13,wear jacket
stgcnpp,coord_noise_mild,new_error,144,35,shake head,53,point finger at the other person
stgcnpp,coord_noise_mild,new_error,128,3,brushing hair,48,use a fan (with hand or paper)/feeling warm
stgcnpp,coord_noise_mild,new_error,107,36,wipe face,48,use a fan (with hand or paper)/feeling warm
stgcnpp,coord_noise_mild,new_error,94,45,touch back (backache),24,reach into pocket
stgcnpp,coord_noise_mild,new_error,86,43,touch head (headache),48,use a fan (with hand or paper)/feeling warm
stgcnpp,coord_noise_mild,new_error,84,0,drink water,48,use a fan (with hand or paper)/feeling warm
stgcnpp,coord_noise_mild,new_error,83,2,brushing teeth,48,use a fan (with hand or paper)/feeling warm
stgcnpp,coord_noise_mild,new_error,81,51,pushing other person,59,walking apart from each other
